account_id,seller_id,predicted_score,tech_match_score
account_232,seller_23,746667,0.3333333333333333
account_256,seller_23,171736,0.25
account_268,seller_23,691656,0.5
account_289,seller_23,521371,0.5
account_374,seller_23,808982,1.0
account_35,seller_24,1160604,0.5
account_53,seller_24,1180881,0.6666666666666666
account_108,seller_24,1314953,0.6666666666666666
account_145,seller_24,343884,0.5
account_163,seller_24,618169,0.3333333333333333
account_183,seller_24,683742,0.6666666666666666
account_187,seller_24,625664,0.6666666666666666
account_228,seller_24,1266099,1.0
account_240,seller_24,563773,0.5
account_336,seller_24,691222,0.5
account_350,seller_24,493997,0.6666666666666666
account_364,seller_24,868583,0.5
account_375,seller_24,1263865,0.6666666666666666
account_387,seller_24,356790,1.0
account_472,seller_24,701591,0.6666666666666666
account_482,seller_24,644819,1.0
account_490,seller_24,343884,0.5
account_7,seller_25,362744,0.0
account_224,seller_25,375302,0.0
account_403,seller_25,567960,0.0
account_430,seller_25,338677,0.0
account_469,seller_25,117695,0.0
account_204,seller_26,327094,0.0
account_45,seller_27,686994,0.0
account_70,seller_27,658504,0.0
account_259,seller_27,378206,0.0
account_355,seller_27,378206,0.0
account_28,seller_28,738204,0.0
account_49,seller_28,240595,0.25
account_136,seller_28,572354,1.0
account_139,seller_28,699371,0.0
account_241,seller_28,278030,0.25
account_275,seller_28,342540,0.0
account_293,seller_28,846180,0.5
account_294,seller_28,657818,0.25
account_367,seller_28,222730,0.0
account_386,seller_28,1280944,1.0
account_412,seller_28,288235,0.0
account_447,seller_28,790845,0.25
account_5,seller_29,924623,0.25
account_94,seller_29,1282498,0.3333333333333333
account_129,seller_29,418175,0.3333333333333333
account_292,seller_29,801997,0.0
account_424,seller_29,921275,1.0
account_495,seller_29,909657,0.0
account_32,seller_30,302930,0.3333333333333333
account_117,seller_30,387994,1.0
account_180,seller_30,919364,1.0
account_195,seller_30,502664,0.25
account_196,seller_30,448582,0.25
account_247,seller_30,691222,0.5
account_317,seller_30,475059,0.5
account_359,seller_30,753956,0.25
account_361,seller_30,823413,0.3333333333333333
account_393,seller_30,343884,0.5
account_432,seller_30,1133902,0.3333333333333333
account_456,seller_30,1129371,1.0
account_461,seller_30,644819,1.0
account_491,seller_30,797115,0.3333333333333333
account_30,seller_31,252988,1.0
account_44,seller_31,750222,0.5
account_68,seller_31,210082,0.3333333333333333
account_73,seller_31,1717781,0.5
account_75,seller_31,549021,0.5
account_121,seller_31,880067,0.25
account_169,seller_31,117695,0.0
account_250,seller_31,240595,0.25
account_281,seller_31,300509,0.25
account_297,seller_31,227630,0.5
account_316,seller_31,824369,0.3333333333333333
account_356,seller_31,988645,0.25
account_409,seller_31,576381,0.3333333333333333
account_415,seller_31,210082,0.3333333333333333
account_417,seller_31,389931,0.0
account_484,seller_31,734421,0.0
account_26,seller_32,709401,0.3333333333333333
account_161,seller_32,1034028,0.0
account_181,seller_32,237992,0.5
account_219,seller_32,466466,0.0
account_249,seller_32,901584,0.25
account_296,seller_32,715001,0.0
account_307,seller_32,666712,0.0
account_337,seller_32,570547,0.0
account_349,seller_32,1304372,1.0
account_389,seller_32,796379,0.5
account_448,seller_32,697800,0.5
account_14,seller_33,543048,0.5
account_52,seller_33,1368918,0.6666666666666666
account_59,seller_33,549841,0.5
account_69,seller_33,791775,0.5
account_74,seller_33,1137517,0.5
account_119,seller_33,616051,1.0
account_124,seller_33,649662,0.6666666666666666
account_226,seller_33,993911,1.0
account_267,seller_33,387151,0.6666666666666666
account_327,seller_33,1191520,0.5
account_372,seller_33,814715,0.5
account_373,seller_33,270984,0.5
account_486,seller_33,943119,0.6666666666666666
account_497,seller_33,352525,1.0
account_111,seller_34,294860,0.0
account_191,seller_34,117695,0.0
account_280,seller_34,605323,0.0
account_319,seller_34,284371,0.0
account_442,seller_34,86947,0.0
account_4,seller_35,540353,0.0
account_29,seller_35,83866,0.0
account_64,seller_35,99383,0.0
account_110,seller_35,136317,0.0
account_135,seller_35,455496,0.0
account_151,seller_35,417235,0.25
account_186,seller_35,846010,0.5
account_340,seller_35,938044,0.5
account_343,seller_35,828160,0.3333333333333333
account_370,seller_35,666712,0.0
account_428,seller_35,735440,0.25
account_483,seller_35,718900,0.0
account_18,seller_36,575383,0.3333333333333333
account_85,seller_36,915893,0.5
account_86,seller_36,705315,0.5
account_114,seller_36,811827,0.5
account_126,seller_36,427566,0.5
account_127,seller_36,763976,0.25
account_150,seller_36,486109,0.0
account_190,seller_36,234310,0.25
account_221,seller_36,1201125,1.0
account_242,seller_36,685665,0.25
account_286,seller_36,420705,0.5
account_321,seller_36,687745,0.0
account_325,seller_36,525252,0.3333333333333333
account_76,seller_37,134000,0.25
account_130,seller_37,598726,0.0
account_168,seller_37,173546,0.0
account_215,seller_37,1006107,0.5
account_237,seller_37,457841,0.5
account_253,seller_37,632003,1.0
account_266,seller_37,1753010,0.3333333333333333
account_353,seller_37,614061,0.25
account_362,seller_37,705315,0.5
account_421,seller_37,86947,0.0
account_488,seller_37,690804,0.25
account_66,seller_38,262053,1.0
account_83,seller_38,343884,0.5
account_97,seller_38,567074,0.3333333333333333
account_98,seller_38,768784,0.3333333333333333
account_159,seller_38,1117807,1.0
account_170,seller_38,1236522,0.3333333333333333
account_265,seller_38,791987,1.0
account_271,seller_38,210082,0.3333333333333333
account_276,seller_38,686994,0.0
account_298,seller_38,220395,0.3333333333333333
account_303,seller_38,521371,0.5
account_357,seller_38,659274,1.0
account_396,seller_38,1422310,1.0
account_443,seller_38,328784,1.0
account_476,seller_38,1289922,1.0
account_16,seller_39,181309,0.0
account_34,seller_39,136317,0.0
account_93,seller_39,921275,1.0
account_185,seller_39,857079,0.3333333333333333
account_233,seller_39,291173,0.0
account_257,seller_39,84828,0.0
account_260,seller_39,557923,0.0
account_310,seller_39,86947,0.0
account_334,seller_39,222787,0.3333333333333333
account_8,seller_40,136317,0.0
account_20,seller_40,666712,0.0
account_21,seller_40,84828,0.0
account_79,seller_40,84828,0.0
account_238,seller_40,224883,0.0
account_312,seller_40,378206,0.0
account_457,seller_40,131889,0.0
account_464,seller_40,131889,0.0
account_140,seller_41,168369,0.0
account_203,seller_41,86947,0.0
account_426,seller_41,389931,0.0
account_441,seller_41,97690,0.0
account_208,seller_42,364043,0.0
account_210,seller_42,348128,0.0
account_455,seller_42,86947,0.0
account_479,seller_42,682406,0.0
account_481,seller_42,267833,0.0
account_91,seller_43,253387,0.3333333333333333
account_120,seller_43,669297,0.0
account_205,seller_43,1318714,1.0
account_220,seller_43,1552216,0.5
account_314,seller_43,618169,0.3333333333333333
account_330,seller_43,181309,0.0
account_333,seller_43,889416,0.3333333333333333
account_366,seller_43,534012,0.3333333333333333
account_376,seller_43,584946,0.3333333333333333
account_382,seller_43,886454,0.5
account_413,seller_43,1451874,1.0
account_425,seller_43,384325,0.25
account_477,seller_43,883936,0.5
account_43,seller_44,181309,0.0
account_67,seller_44,1142544,0.5
account_128,seller_44,379963,0.0
account_132,seller_44,603870,0.0
account_153,seller_44,968992,0.3333333333333333
account_164,seller_44,622810,0.3333333333333333
account_198,seller_44,396583,0.0
account_202,seller_44,1091264,0.25
account_211,seller_44,552869,0.0
account_225,seller_44,841016,0.3333333333333333
account_239,seller_44,534012,0.3333333333333333
account_246,seller_44,446987,0.0
account_328,seller_44,842729,1.0
account_395,seller_44,270972,1.0
account_411,seller_44,1298551,0.5
account_1,seller_45,1142544,0.5
account_96,seller_45,1041266,0.5
account_100,seller_45,1110542,1.0
account_144,seller_45,837566,1.0
account_172,seller_45,906026,0.5
account_182,seller_45,1234788,0.6666666666666666
account_209,seller_45,427566,0.5
account_344,seller_45,1190995,0.6666666666666666
account_360,seller_45,1080836,1.0
account_407,seller_45,1489971,1.0
account_416,seller_45,1178277,1.0
account_436,seller_45,1113906,0.5
account_496,seller_45,1026479,0.6666666666666666
account_499,seller_45,693511,0.5
account_25,seller_46,715001,0.0
account_166,seller_46,345479,0.0
account_279,seller_46,858986,0.0
account_282,seller_46,94500,0.0
account_345,seller_46,181309,0.0
account_363,seller_46,699407,0.0
account_478,seller_46,696993,0.0
account_15,seller_47,502513,1.0
account_42,seller_47,131889,0.0
account_80,seller_47,281123,0.0
account_87,seller_47,1190339,1.0
account_95,seller_47,1170518,1.0
account_109,seller_47,661394,1.0
account_160,seller_47,570547,0.0
account_269,seller_47,557476,1.0
account_287,seller_47,262053,1.0
account_358,seller_47,92723,0.0
account_369,seller_47,685665,0.25
account_466,seller_47,691656,0.5
account_0,seller_48,291173,0.0
account_81,seller_48,389931,0.0
account_162,seller_48,221443,0.0
account_173,seller_48,844209,0.25
account_175,seller_48,235218,0.5
account_244,seller_48,661412,0.5
account_270,seller_48,168511,0.25
account_392,seller_48,767818,0.0
account_463,seller_48,502513,1.0
account_24,seller_49,1228933,1.0
account_60,seller_49,712031,0.25
account_62,seller_49,590092,0.3333333333333333
account_71,seller_49,723236,0.25
account_137,seller_49,219064,1.0
account_189,seller_49,695017,0.0
account_197,seller_49,525252,0.3333333333333333
account_223,seller_49,459826,0.0
account_300,seller_49,746541,0.0
account_308,seller_49,713698,1.0
account_311,seller_49,382146,1.0
account_339,seller_49,394094,0.3333333333333333
account_378,seller_49,665713,0.5
account_453,seller_49,646552,0.5
account_467,seller_49,436221,1.0
account_474,seller_49,865159,0.3333333333333333
account_489,seller_49,265085,1.0
